Country,Name,State,Year,Longitude,Latitude
India,Vartu- I Dam,Gujarat,1968,69.867237,22.326263
India,Vekari Dam,Gujarat,1988,70.59888,21.82575
India,Vengadi Dam,Gujarat,1955,69.1072,23.189755
India,Venu II Dam,Gujarat,1989,70.254998,21.633566
India,Ver II Dam,Gujarat,1993,73.369239,21.295468
India,Vijarkhi Dam,Gujarat,1901,70.120596,22.446807
India,Virpur Dam,Gujarat,1980,73.336787,23.905603
India,Wanklaeswar-Bhey Dam,Gujarat,1978,74.173908,22.754424
India,Watrak Dam,Gujarat,1983,73.217019,23.229004
India,Zakashiya Dam,Gujarat,2003,69.260237,22.105574
India,Zanzarwa Dam,Gujarat,1976,72.12828,24.335044
India,kaushalya Dam,Haryana,2011,76.9036,30.788361
India,Arniar Dam,Andhra Pradesh,1958,79.7049,13.376619
India,Bugga Dam,Andhra Pradesh,1998,78.812928,14.409022
India,Bukkapatnam Dam,Andhra Pradesh,1975,77.809817,14.195025
India,Cheyyeru / Annamayya Dam,Andhra Pradesh,2003,79.082281,14.263208
India,Dharmavaram Dam,Andhra Pradesh,0,77.711319,14.427911
India,Gajuladinne (Sanjeevaiah Sagar) Dam,Andhra Pradesh,1979,77.658725,15.704628
India,Gandipalem /Pcr Gandipalem Dam,Andhra Pradesh,1981,79.316181,14.873806
India,Kalangi Dam,Andhra Pradesh,1960,79.733692,13.617422
India,Kalyani Dam,Andhra Pradesh,1977,79.286653,13.623075
India,Kandaleru /Kandaleru Dam,Andhra Pradesh,1995,79.600244,14.267486
India,Konam Dam,Andhra Pradesh,1980,82.781528,17.867233
India,Krishnapuram (Chittor) Dam,Andhra Pradesh,1981,79.455303,13.388806
India,Maddigedda Dam,Andhra Pradesh,1981,82.025319,17.466753
India,Madduvalasa Dam,Andhra Pradesh,2002,83.616047,18.613492
India,Mylavaram Dam,Andhra Pradesh,1983,78.444506,14.793786
India,Pampa Dam,Andhra Pradesh,1969,82.518675,17.334972
India,Pedaballi Dam,Andhra Pradesh,2000,78.409619,14.061278
India,Pincha Dam,Andhra Pradesh,1960,78.991547,13.938056
India,T.Sundupalli Dam,Andhra Pradesh,0,78.904342,14.919314
India,Velugodu Dam,Andhra Pradesh,0,78.502069,15.701381
India,Yeleru Dam,Andhra Pradesh,1991,82.015681,17.155933
India,Zurreru Dam,Andhra Pradesh,1963,78.209783,15.369433
India,Bhairavanithippa Dam,Andhra Pradesh,1961,76.668756,14.446022
India,Mopadu Dam,Andhra Pradesh,1921,79.520797,15.086383
India,Varadaraja Swamy Gudi Dam,Andhra Pradesh,2000,78.550825,15.941936
India,Bhogavo-II (Wadhowan) Dam,Gujarat,1959,71.607445,22.739362
India,Bhuki Dam,Gujarat,1990,69.34089,23.322008
India,Thandava(Sri Raja Sagi Suryanarayana Raju (Srssr),Andhra Pradesh,1974,82.460881,17.511681
India,Bandhara Dam,Gujarat,1978,69.604149,23.057214
India,Bedi Dam,Gujarat,1981,70.831983,22.313915
India,Akkapalem Dam,Andhra Pradesh,0,80.555578,17.202397
India,Forebay Lower Sileru ( S.H.E.S) Dam,Andhra Pradesh,1978,81.657914,17.868461
India,Gandicheruvu (Dist-Prakasam) Dam,Andhra Pradesh,0,79.327286,16.111011
India,Gundlakamma Dam,Andhra Pradesh,0,80.038267,15.513189
India,Guntawada Main Dam,Andhra Pradesh,1967,82.017847,18.036444
India,Jalakanur Dam,Andhra Pradesh,1981,78.259114,15.658678
India,Jalleru Dam,Andhra Pradesh,1992,81.227011,17.18975
India,Kalinga Dal Dam,Andhra Pradesh,1960,84.501669,18.938289
India,Kanigiri Dam,Andhra Pradesh,0,79.985022,14.569397
India,Kovvadakalva Dam,Andhra Pradesh,2004,81.51445,17.209044
India,Midpennar Stage-I/Mid-Pennar Dam,Andhra Pradesh,1968,77.26795,14.910622
India,Nellore Dam,Andhra Pradesh,0,79.959978,14.427514
India,"Paleru ,Owk Dam",Andhra Pradesh,1946,78.122742,15.216133
India,"Pedda Cheruvu , Nagasamudram Dam",Andhra Pradesh,1975,77.545314,14.227814
India,Pendlur Dam,Andhra Pradesh,1998,78.361086,14.371831
India,Raiwada Dam,Andhra Pradesh,1981,83.133922,17.911564
India,Siddalagandi Dam,Andhra Pradesh,1959,79.063939,13.743589
India,Somasila Dam,Andhra Pradesh,1986,79.505497,14.589508
India,Sreerangarayani Cheruvu Dam,Andhra Pradesh,0,77.630011,14.797797
India,Surampalem Dam,Andhra Pradesh,2006,81.911672,17.41705
India,"Tajangi , Tajangi(V) Dam",Andhra Pradesh,0,82.630206,17.664658
India,Veligallu Dam,Andhra Pradesh,0,78.409619,14.061278
India,Vottigadda Dam,Andhra Pradesh,1976,83.601008,18.78295
India,Vyasasamudram Dam,Andhra Pradesh,1974,78.159122,13.761406
India,Yeddula Eswaraiah GandiKoata Dam,Andhra Pradesh,2005,78.115097,14.865844
India,Yerrakalva Dam,Andhra Pradesh,1988,81.270986,17.124917
India,Yogivemana Dam,Andhra Pradesh,2001,77.994372,14.352811
India,Karbi Langpi Dam,Assam,0,92.517233,25.955211
India,Umrong Dam,Assam,1982,93.018108,25.190319
India,Ajan Dam,Bihar,1989,86.249331,24.968569
India,Amrity Dam,Bihar,1965,86.194244,24.830281
India,Baskund Dam,Bihar,1984,86.163014,25.0692
India,Belharna Dam,Bihar,1987,86.694619,24.819717
India,Jalkund Dam,Bihar,1968,86.574847,25.293486
India,Kailash Ghati Dam,Bihar,1980,85.907281,24.943836
India,Khargpur Lake Dam,Bihar,1876,86.5366,25.121647
India,Kohira Dam,Bihar,1962,83.504617,25.032803
India,Srikhandi Dam,Bihar,1965,86.194244,24.830281
India,Hasdeo Bango (Minimata) Dam,Chhattisgarh,1990,82.550424,22.612172
